source;target;weight
HYDROL_PROCESS;J_HYDROL;68
J_HYDROL;HYDROL_PROCESS;45
WATER_RESOUR_RES;J_HYDROL;38
EARTH_SURF_PROCESS_LANDF;GEOMORPHOLOGY;36
HYDROL_EARTH_SYST_SCI;J_HYDROL;31
ENVIRON_POLLUT;ENVIRON_SCI_TECHNOL;31
J_HYDROL;WATER_RESOUR_RES;27
HYDROL_EARTH_SYST_SCI;WATER_RESOUR_RES;24
SCI_TOTAL_ENVIR;ENVIRON_POLLUT;24
ESTUAR_COAST_SHELF_SCI;CONT_SHELF_RES;22
HYDROBIOLOGIA;FRESHWATER_BIOL;21
ENVIRON_TOXICOL_CHEM;ENVIRON_SCI_TECHNOL;21
SCI_TOTAL_ENVIR;J_HYDROL;20
WATER_RESOUR_RES;GEOPHYS_RES_LETT;20
WATER_RESOUR_RES;HYDROL_PROCESS;20
MAR_FRESHWATER_RES;FRESHWATER_BIOL;18
EARTH_SURF_PROCESS_LANDF;WATER_RESOUR_RES;18
GEOPHYS_RES_LETT;WATER_RESOUR_RES;18
J_N_AMER_BENTHOL_SOC;FRESHWATER_BIOL;18
FUNDAM_APPL_LIMNOL;FRESHWATER_BIOL;17
MAR_GEOLOGY;CONT_SHELF_RES;17
ESTUAR_COAST_SHELF_SCI;HYDROBIOLOGIA;17
GEOMORPHOLOGY;WATER_RESOUR_RES;16
WATER_RESOUR_RES;GEOMORPHOLOGY;15
J_FISH_BIOL;HYDROBIOLOGIA;15
FRESHWATER_BIOL;HYDROBIOLOGIA;13
FUNDAM_APPL_LIMNOL;HYDROBIOLOGIA;13
WATER_RES;ENVIRON_SCI_TECHNOL;13
NORTH_AM_J_FISH_MANAGE;J_APPL_ICHTHYOL;12
SCI_TOTAL_ENVIR;ENVIRON_SCI_TECHNOL;12
GEOMORPHOLOGY;ENVIRON_GEOL;12
RIVER_RES_APPL;HYDROBIOLOGIA;12
ENVIRON_TOXICOL_CHEM;ENVIRON_POLLUT;12
ENVIRON_SCI_TECHNOL;ENVIRON_POLLUT;12
J_HYDROL;RIVER_RES_APPL;12
EARTH_SURF_PROCESS_LANDF;J_HYDROL;12
SCI_TOTAL_ENVIR;APPL_GEOCHEM;12
ESTUAR_COAST_SHELF_SCI;MAR_CHEM;11
J_FISH_BIOL;ECOL_FRESHW_FISH;11
SCI_TOTAL_ENVIR;WATER_RES;11
GEOCHIM_COSMOCHIM_ACTA;MAR_CHEM;11
HYDROL_PROCESS;WATER_RESOUR_RES;11
HYDROL_EARTH_SYST_SCI;HYDROLOG_SCI_J;11
ENVIRON_SCI_TECHNOL;ENVIRON_TOXICOL_CHEM;11
ECOL_FRESHW_FISH;J_FISH_BIOL;11
CONT_SHELF_RES;MAR_CHEM;11
J_FISH_BIOL;ENVIRON_BIOL_FISH;11
J_FISH_BIOL;MOL_ECOL;11
SCI_TOTAL_ENVIR;HYDROL_PROCESS;11
J_HYDROL;GEOPHYS_RES_LETT;10
RIVER_RES_APPL;FRESHWATER_BIOL;10
WATER_RESOUR_RES;RIVER_RES_APPL;10
J_HYDROL;ADV_WATER_RESOUR;10
TRANS_AMER_FISH_SOC;ENVIRON_BIOL_FISH;10
J_HYDROL;HYDROLOG_SCI_J;10
GEOCHIM_COSMOCHIM_ACTA;ORG_GEOCHEM;10
CHEM_GEOL;APPL_GEOCHEM;9
LIMNOL_OCEANOGR;MAR_CHEM;9
CATENA;GEOMORPHOLOGY;9
MAR_FRESHWATER_RES;RIVER_RES_APPL;9
HYDROL_EARTH_SYST_SCI;HYDROL_PROCESS;9
CONT_SHELF_RES;J_MARINE_SYST;9
CAN_J_FISHERIES_AQUAT_SCI;HYDROBIOLOGIA;9
WATER_ENVIRON_RES;ENVIRON_SCI_TECHNOL;9
CAN_J_FISHERIES_AQUAT_SCI;MOL_ECOL;9
ENVIRON_POLLUT;ENVIRON_TOXICOL_CHEM;9
J_APPL_ECOL;FRESHWATER_BIOL;9
DEEP-SEA_RES_PT_I-OCEANOG_RES;CONT_SHELF_RES;9
AQUAT_SCI;FRESHWATER_BIOL;9
AQUAT_SCI;WATER_RESOUR_RES;9
J_ENVIRON_QUAL;J_HYDROL;9
EARTH_SURF_PROCESS_LANDF;CATENA;9
ADV_WATER_RESOUR;WATER_RESOUR_RES;8
AQUAT_SCI;RIVER_RES_APPL;8
J_HYDROL_ENG;J_HYDROL;8
MAR_FRESHWATER_RES;J_FISH_BIOL;8
GEOMORPHOLOGY;CATENA;8
FRESHWATER_BIOL;BIOL_CONSERV;8
FRESHWATER_BIOL;MOL_ECOL;8
CAN_J_FISHERIES_AQUAT_SCI;J_FISH_BIOL;8
GEOMORPHOLOGY;SEDIMENT_GEOL;8
ENVIRON_MONIT_ASSESS;ENVIRON_MODELL_SOFTW;8
MAR_ECOL-PROGR_SER;CONT_SHELF_RES;8
J_HYDROL;GROUND_WATER;8
ENG_GEOL;ENVIRON_GEOL;8
APPL_GEOCHEM;CHEM_GEOL;8
SCI_TOTAL_ENVIR;ENVIRON_TOXICOL_CHEM;8
WATER_RESOUR_RES;ADV_WATER_RESOUR;8
GLOBAL_BIOGEOCHEM_CYCLE;GEOPHYS_RES_LETT;8
APPL_GEOCHEM;ENVIRON_SCI_TECHNOL;8
AQUAT_CONSERV;FRESHWATER_BIOL;8
OCEANOGRAPHY;CONT_SHELF_RES;8
HYDROBIOLOGIA;RIVER_RES_APPL;8
TRANS_AMER_FISH_SOC;J_APPL_ICHTHYOL;8
FRESEN_ENVIRON_BULL;ENVIRON_MONIT_ASSESS;8
N_AM_J_AQUACULT;ENVIRON_BIOL_FISH;8
ECOHYDROLOGY;GEOMORPHOLOGY;8
GEOCHIM_COSMOCHIM_ACTA;CHEM_GEOL;8
J_HYDROL;ENVIRON_GEOL;8
TRANS_AMER_FISH_SOC;ECOL_FRESHW_FISH;7
MAR_FRESHWATER_RES;BIOL_CONSERV;7
MAR_FRESHWATER_RES;ECOL_FRESHW_FISH;7
J_HYDROL;INT_J_CLIMATOL;7
GEOCHIM_COSMOCHIM_ACTA;CONT_SHELF_RES;7
FUNDAM_APPL_LIMNOL;BIOL_INVASIONS;7
ENVIRON_GEOL;ENVIRON_MONIT_ASSESS;7
WATER_RESOUR_RES;FRESHWATER_BIOL;7
RIVER_RES_APPL;WATER_RESOUR_RES;7
J_SOIL_WATER_CONSERV;J_ENVIRON_QUAL;7
AQUAT_ECOL;FRESHWATER_BIOL;7
ORG_GEOCHEM;MAR_CHEM;7
GEOMORPHOLOGY;GLOBAL_PLANET_CHANGE;7
SEDIMENT_GEOL;SEDIMENTOLOGY;7
NEOTROP_ICHTHYOL;HYDROBIOLOGIA;7
ECOHYDROLOGY;RIVER_RES_APPL;7
WATER_SCI_TECHNOL;ENVIRON_MONIT_ASSESS;7
TRANS_AMER_FISH_SOC;CONSERV_GENET;7
ENVIRON_SCI_TECHNOL;WATER_RES;7
J_AM_WATER_RESOUR_ASSOC;J_HYDROL;7
ESTUAR_COAST_SHELF_SCI;ENVIRON_MONIT_ASSESS;7
J_HYDROL;ENVIRON_POLLUT;7
J_FISH_BIOL;RIVER_RES_APPL;7
CATENA;J_HYDROL;7
J_FISH_BIOL;FRESHWATER_BIOL;6
NORTH_AM_J_FISH_MANAGE;FISHERIES_MANAG_ECOL;6
SCI_TOTAL_ENVIR;WATER_RESOUR_RES;6
MAR_GEOLOGY;GEOMORPHOLOGY;6
ADV_WATER_RESOUR;J_HYDROL;6
SENSORS;J_ENVIRON_MANAGE;6
WATER_RESOUR_MANAG;ENVIRON_MODELL_SOFTW;6
RIVER_RES_APPL;HYDROL_PROCESS;6
FRESHWATER_BIOL;RIVER_RES_APPL;6
EARTH_SURF_PROCESS_LANDF;RIVER_RES_APPL;6
HYDROL_PROCESS;J_HYDROL_ENG;6
MAR_CHEM;CONT_SHELF_RES;6
MAR_CHEM;LIMNOL_OCEANOGR;6
GEOMORPHOLOGY;GEOLOGY;6
RIVER_RES_APPL;GEOMORPHOLOGY;6
AQUAT_CONSERV;RIVER_RES_APPL;6
GEOPHYS_RES_LETT;HYDROL_PROCESS;6
INT_REV_HYDROBIOL;FRESHWATER_BIOL;6
WATER_RESOUR_RES;J_HYDROL_ENG;6
ECOL_FRESHW_FISH;FRESHWATER_BIOL;6
FRESHWATER_BIOL;ENVIRON_MANAGE;6
NORTH_AM_J_FISH_MANAGE;CONSERV_GENET;6
